granularite,section,detail,metrique,valeur,n
mensuel,test,globale,accuracy,60.4,10467
mensuel,test,globale,balanced_accuracy,53.3,10467
mensuel,test,globale,f1_macro,45.7,10467
mensuel,test,globale,n_zones_uniques,412.0,10467
mensuel,test,globale,repere_toujours_majoritaire_accuracy,79.5,10467
mensuel,test,globale,repere_hasard_balanced,33.3,10467
mensuel,par_annee,2023,accuracy,61.6,3489
mensuel,par_annee,2024,accuracy,59.8,3489
mensuel,par_annee,2025,accuracy,59.8,3489
mensuel,par_tendance,Diminution,accuracy,63.8,8323
mensuel,par_tendance,Stable,accuracy,45.0,1317
mensuel,par_tendance,Augmentation,accuracy,51.3,827
mensuel,cv_temporelle,fold_1_val_2017,accuracy,56.7,3161
mensuel,cv_temporelle,fold_1_val_2017,balanced_accuracy,54.7,3161
mensuel,cv_temporelle,fold_1_val_2017,f1_macro,46.5,3161
mensuel,cv_temporelle,fold_2_val_2018,accuracy,57.5,3419
mensuel,cv_temporelle,fold_2_val_2018,balanced_accuracy,53.9,3419
mensuel,cv_temporelle,fold_2_val_2018,f1_macro,46.2,3419
mensuel,cv_temporelle,fold_3_val_2019,accuracy,57.9,3611
mensuel,cv_temporelle,fold_3_val_2019,balanced_accuracy,55.4,3611
mensuel,cv_temporelle,fold_3_val_2019,f1_macro,46.3,3611
mensuel,cv_temporelle,fold_4_val_2020,accuracy,56.0,3783
mensuel,cv_temporelle,fold_4_val_2020,balanced_accuracy,57.3,3783
mensuel,cv_temporelle,fold_4_val_2020,f1_macro,45.1,3783
mensuel,cv_temporelle,fold_5_val_2021,accuracy,64.8,3929
mensuel,cv_temporelle,fold_5_val_2021,balanced_accuracy,59.9,3929
mensuel,cv_temporelle,fold_5_val_2021,f1_macro,49.2,3929
mensuel,cv_temporelle,fold_6_val_2022,accuracy,67.7,3669
mensuel,cv_temporelle,fold_6_val_2022,balanced_accuracy,59.1,3669
mensuel,cv_temporelle,fold_6_val_2022,f1_macro,49.9,3669
mensuel,cv_temporelle,moyenne,accuracy,60.1,6
mensuel,cv_temporelle,moyenne,balanced_accuracy,56.7,6
mensuel,cv_temporelle,moyenne,f1_macro,47.2,6
